day,time_window,probability,avg_distance,sample_size
Monday,09:30-10:30,37.5,5.5,8
Monday,10:30-11:30,0.0,0.0,8
Monday,11:30-12:30,0.0,0.0,8
Monday,12:30-13:30,0.0,0.0,8
Monday,13:30-14:30,0.0,0.0,8
Monday,14:30-15:30,0.0,0.0,8
Monday,15:30-16:00,0.0,0.0,8
Tuesday,09:30-10:30,50.0,15.8,8
Tuesday,10:30-11:30,12.5,37.7,8
Tuesday,11:30-12:30,0.0,0.0,8
Tuesday,12:30-13:30,0.0,0.0,8
Tuesday,13:30-14:30,12.5,56.8,8
Tuesday,14:30-15:30,0.0,0.0,8
Tuesday,15:30-16:00,0.0,0.0,8
Wednesday,09:30-10:30,44.4,19.3,9
Wednesday,10:30-11:30,11.1,59.0,9
Wednesday,11:30-12:30,11.1,40.9,9
Wednesday,12:30-13:30,0.0,0.0,9
Wednesday,13:30-14:30,22.2,29.9,9
Wednesday,14:30-15:30,0.0,0.0,9
Wednesday,15:30-16:00,0.0,0.0,9
Thursday,09:30-10:30,50.0,12.4,6
Thursday,10:30-11:30,16.7,35.8,6
Thursday,11:30-12:30,0.0,0.0,6
Thursday,12:30-13:30,0.0,0.0,6
Thursday,13:30-14:30,0.0,0.0,6
Thursday,14:30-15:30,0.0,0.0,6
Thursday,15:30-16:00,0.0,0.0,6
Friday,09:30-10:30,22.2,11.8,9
Friday,10:30-11:30,11.1,45.5,9
Friday,11:30-12:30,11.1,89.5,9
Friday,12:30-13:30,0.0,0.0,9
Friday,13:30-14:30,0.0,0.0,9
Friday,14:30-15:30,0.0,0.0,9
Friday,15:30-16:00,0.0,0.0,9
